model,year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Other,Petrol
 Grand Tourneo Connect,2017,14000,20122,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,14500,18460,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2016,14000,21576,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2015,9490,94362,58.9,1.6,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,19000,4284,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,13490,13608,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,13482,21862,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,13200,39494,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,12500,52175,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2018,17298,8354,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2019,18500,390,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,12260,45670,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2017,12750,14825,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2018,14900,18232,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,19500,3942,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2019,19500,5589,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2020,20850,601,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,13500,44785,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2015,13200,14079,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2019,16000,15244,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,13500,19483,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,18490,11,46.3,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,24500,9000,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,11499,27354,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2015,10995,30760,58.9,1.6,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2015,10499,54429,58.9,1.6,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,11000,35654,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,13699,41445,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2017,14200,27252,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,13995,45461,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2015,6499,115613,58.9,1.6,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,13995,13000,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2014,10995,37381,58.9,1.6,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2015,8995,94000,58.9,1.6,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,17999,4842,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,22000,1523,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,17999,6937,61.4,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2015,9295,47904,56.5,1.6,0,1,0,1,0,0,0,0
 Tourneo Connect,2017,10998,16310,50.4,1.0,0,1,0,0,0,0,0,1
 Tourneo Connect,2016,8998,42960,61.4,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2015,10298,28309,58.9,1.6,0,1,0,1,0,0,0,0
 Tourneo Connect,2019,19998,4605,61.4,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2015,9998,88927,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2017,12998,5094,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,13990,16740,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,9000,72777,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,11298,24939,61.4,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,13250,36145,56.6,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2016,10873,56892,56.6,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2017,15998,6051,56.6,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2017,12991,21310,61.4,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,12298,43812,56.6,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2018,14999,30000,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,12360,31307,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2019,19897,2991,61.4,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,11995,21026,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,11995,21026,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2019,17000,12815,48.7,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2017,14000,21491,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2019,20000,1390,61.4,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2017,13950,15852,56.6,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2016,13000,11297,56.6,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2019,18500,5659,44.1,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2020,20950,409,44.1,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2019,17950,1956,61.4,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,12500,26545,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2019,18750,2762,48.7,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2017,8975,66305,64.2,1.5,0,1,0,1,0,0,0,0
 Tourneo Connect,2016,14995,6000,56.6,1.5,1,0,0,1,0,0,0,0
 Tourneo Connect,2015,11495,15518,35.3,1.6,1,0,0,0,0,0,0,1
 Transit Tourneo,2014,12450,19496,42.2,2.2,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,19995,24568,31.7,2.0,1,0,0,1,0,0,0,0
 Tourneo Custom,2017,19995,14000,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,20990,5100,31.7,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,29999,100,30.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,16700,22704,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,17998,41269,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,15298,62505,46.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,20156,4629,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,21948,26909,31.7,2.0,1,0,0,1,0,0,0,0
 Tourneo Custom,2018,21228,22037,31.7,2.0,1,0,0,1,0,0,0,0
 Tourneo Custom,2016,18798,44233,46.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,22995,20874,44.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,16998,25108,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,17998,30010,44.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,19776,36199,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,19194,64432,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2015,15998,30324,43.5,2.2,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,24995,6375,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,24995,5341,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,15995,49913,42.2,2.2,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,17998,51252,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,18990,21529,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,16991,48822,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,19498,30382,44.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,16998,45668,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,18995,25587,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,21400,5609,35.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,21400,2763,35.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,19997,29973,35.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,19698,11960,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,20000,14292,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,20000,13306,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,19490,23838,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,12995,73000,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,21995,14986,30.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2015,18498,13016,42.2,2.2,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,16798,26807,46.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,27995,11415,30.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,20995,8095,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,28995,4452,30.1,2.0,1,0,0,1,0,0,0,0
 Tourneo Custom,2019,29500,10450,31.7,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,19995,2500,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,17995,33650,44.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,25995,5000,32.8,2.0,1,0,0,1,0,0,0,0
 Tourneo Custom,2019,25995,9897,30.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,20000,36000,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2016,22495,31250,44.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,26922,1410,30.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,19989,37950,44.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,23995,6020,31.7,2.0,1,0,0,1,0,0,0,0
 Tourneo Custom,2019,29890,6500,31.7,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,29495,7000,31.7,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,15499,6896,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,20000,26514,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,24000,10012,35.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,19490,39250,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,19990,15000,46.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,25495,9750,31.7,2.0,1,0,0,1,0,0,0,0
 Tourneo Custom,2019,26500,2000,32.1,2.0,1,0,0,1,0,0,0,0
 Tourneo Custom,2019,25495,10500,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,24495,22500,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,25495,10750,32.5,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,21980,6959,46.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,21980,26483,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,16500,47000,44.8,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2017,22000,32315,44.1,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,19999,3710,35.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,19999,2223,35.3,2.0,0,1,0,1,0,0,0,0
 Tourneo Custom,2018,17495,30732,32.5,2.0,0,1,0,1,0,0,0,0
 Fusion,2010,4750,26588,37.7,1.6,1,0,0,0,0,0,0,1
 Fusion,2005,2395,64000,64.2,1.4,0,1,0,1,0,0,0,0
 Fusion,2011,3999,35006,42.8,1.6,0,1,0,0,0,0,0,1
 Fusion,2009,2491,86022,43.5,1.4,0,1,0,0,0,0,0,1
 Fusion,2010,2495,96000,62.8,1.4,0,1,0,1,0,0,0,0
 Fusion,2007,2299,62233,42.8,1.6,0,1,0,0,0,0,0,1
 Fusion,2008,3199,55789,37.2,1.6,0,1,0,0,0,0,0,1
 Fusion,2006,2495,69255,43.5,1.4,0,1,0,0,0,0,0,1
 Fusion,2008,1895,105000,42.8,1.6,0,1,0,0,0,0,0,1
 Fusion,2005,2095,31000,41.5,1.4,0,1,0,0,0,0,0,1
 Fusion,2009,1450,94028,43.5,1.4,0,1,0,0,0,0,0,1
 Fusion,2010,1795,83000,43.5,1.4,0,1,0,0,0,0,0,1
 Fusion,2008,2750,66000,37.2,1.6,1,0,0,0,0,0,0,1
 Fusion,2009,2890,44000,37.7,1.6,1,0,0,0,0,0,0,1
 Fusion,2004,1500,59300,42.8,1.4,1,0,0,0,0,0,0,1
 Fusion,2010,2395,77000,62.8,1.4,0,1,0,1,0,0,0,0
 Ranger,2013,14495,88000,28.3,3.2,0,1,0,1,0,0,0,0
 Streetka,2005,1999,63000,35.3,1.6,0,1,0,0,0,0,0,1
 Streetka,2006,1850,74055,35.8,1.6,0,1,0,0,0,0,0,1
 Escort,1996,3000,50000,34.4,1.8,0,1,0,0,0,0,0,1
 Grand C-MAX,2018,13495,1030,47.9,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2015,8998,28359,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,12498,10373,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,10498,17197,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10998,14161,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9998,39460,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2019,14950,9693,57.7,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2014,6998,45460,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10698,29886,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11698,12124,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,13498,8913,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10498,29684,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11498,6368,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2015,8498,47182,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10498,35853,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10798,19318,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,12498,17367,58.9,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2015,8991,49633,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2018,11176,32038,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2015,9975,30858,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,11998,34883,61.4,2.0,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9940,29592,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,9990,30788,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,10857,8000,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,11736,33000,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10998,31399,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2013,7698,36101,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2015,10495,31221,48.7,2.0,0,0,1,1,0,0,0,0
 Grand C-MAX,2018,13000,13202,47.1,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10500,28958,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9500,52126,58.9,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2017,9995,46391,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,11500,5859,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,9690,40911,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9795,48154,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9995,22885,58.9,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2017,11695,15866,58.9,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2016,10490,26985,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10990,22888,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,12950,14369,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10200,32058,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2018,11995,21643,47.9,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10830,14420,58.9,1.5,1,0,0,1,0,0,0,0
 Grand C-MAX,2018,11998,36244,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,12698,12628,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10607,20366,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,10495,15146,58.9,1.5,1,0,0,1,0,0,0,0
 Grand C-MAX,2016,10277,15414,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11498,36658,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2015,9797,40521,56.5,2.0,0,0,1,1,0,0,0,0
 Grand C-MAX,2013,7690,36270,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,12850,8764,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,12491,21689,61.4,2.0,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,11390,27571,58.9,1.5,1,0,0,1,0,0,0,0
 Grand C-MAX,2019,16750,15097,56.5,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10998,12360,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,12498,17813,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,10250,24512,58.9,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2017,12931,17509,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,11998,11663,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,12490,8121,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,11500,12548,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11498,15371,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2015,9998,25969,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,10798,16541,58.9,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2017,11998,29396,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10998,48934,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10850,26967,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2013,6597,35765,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11498,27070,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11498,17897,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10800,13809,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9495,47387,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9991,26611,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,14500,6994,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,11891,11373,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,9995,14621,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10495,33007,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,10240,16746,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,10730,37021,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,8480,44956,58.9,1.5,1,0,0,1,0,0,0,0
 Grand C-MAX,2016,9200,50592,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9660,30691,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,9691,43499,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9995,22120,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,11240,12054,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10190,36333,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,10077,19704,58.9,1.5,1,0,0,1,0,0,0,0
 Grand C-MAX,2017,10998,21738,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,13990,28982,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9899,18415,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10999,51024,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2015,10499,26217,56.5,2.0,0,0,1,1,0,0,0,0
 Grand C-MAX,2018,14000,18614,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,10030,17334,58.9,1.5,1,0,0,1,0,0,0,0
 Grand C-MAX,2016,10490,16271,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11495,24501,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2015,9499,29950,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11490,42075,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2015,8995,38058,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2018,12298,43496,47.1,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,9793,26035,58.9,1.5,1,0,0,1,0,0,0,0
 Grand C-MAX,2014,8498,35013,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,12498,25243,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2015,8540,44142,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,9491,37799,58.9,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2017,14498,7219,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,12444,17242,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2013,6998,37522,60.1,1.6,0,1,0,1,0,0,0,0
 Grand C-MAX,2018,17900,180,51.4,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2017,8691,58111,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,10100,15777,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11500,29881,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10995,14789,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,10000,11969,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,13500,11286,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2018,12800,10092,47.9,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2018,14000,5113,47.9,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,14500,4040,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10500,17121,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11000,12538,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,10750,37124,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2017,11000,45435,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,11400,22648,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,9990,27800,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,10495,24335,58.9,1.5,0,0,1,1,0,0,0,0
 Grand C-MAX,2017,11990,10594,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,11160,30665,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2018,13647,10652,47.1,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,10979,36730,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,9820,36489,64.2,1.5,0,1,0,1,0,0,0,0
 Grand C-MAX,2016,11690,13325,58.9,1.5,1,0,0,1,0,0,0,0
 Grand C-MAX,2015,9795,51250,48.7,2.0,0,0,1,1,0,0,0,0
 Grand C-MAX,2017,11180,30519,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,11995,19000,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,11179,37306,54.3,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2019,14199,6375,47.9,1.0,0,1,0,0,0,0,0,1
 Grand C-MAX,2018,14499,3937,47.1,1.0,0,1,0,0,0,0,0,1
